index,source_file,GateV,DrainI,source_line,setup_title
97,vgs-id2#1.xls,17.9993591308594,9.8617652838584e-05,98,Run6391
98,vgs-id2#1.xls,18.4992332458496,0.000106554507510737,99,Run6391
99,vgs-id2#1.xls,18.9988479614258,0.000115080423711333,100,Run6391
100,vgs-id2#1.xls,19.499116897583,0.00012387077731546,101,Run6391
101,vgs-id2#1.xls,19.9989681243896,0.00013281982683111,102,Run6391
102,vgs-id2#1.xls,20.4992446899414,0.000142456570756622,103,Run6391
103,vgs-id2#1.xls,20.9989547729492,0.000152018750668503,104,Run6391
104,vgs-id2#1.xls,21.5034351348877,0.000161401796503924,105,Run6391
105,vgs-id2#1.xls,22.0035438537598,0.000171565188793465,106,Run6391
106,vgs-id2#1.xls,22.5037212371826,0.000182367002707906,107,Run6391
107,vgs-id2#1.xls,23.0000743865967,0.000192656181752682,108,Run6391
108,vgs-id2#1.xls,23.5004329681396,0.000203421761398204,109,Run6391
109,vgs-id2#1.xls,24.0004081726074,0.000213866354897618,110,Run6391
110,vgs-id2#1.xls,24.5006046295166,0.000224153962335549,111,Run6391
111,vgs-id2#1.xls,25.0006713867188,0.000235096711548977,112,Run6391
112,vgs-id2#1.xls,25.5008068084717,0.000245539587922394,113,Run6391
113,vgs-id2#1.xls,26.0008754730225,0.000255973776802421,114,Run6391
114,vgs-id2#1.xls,26.5006809234619,0.000266001181444153,115,Run6391
115,vgs-id2#1.xls,27.0014591217041,0.000275301921647042,116,Run6391
116,vgs-id2#1.xls,27.5018653869629,0.000282563967630267,117,Run6391
117,vgs-id2#1.xls,28.0021018981934,0.000289202871499583,118,Run6391
118,vgs-id2#1.xls,28.5027084350586,0.000294597615720704,119,Run6391
119,vgs-id2#1.xls,29.0027656555176,0.000298832863336429,120,Run6391
120,vgs-id2#1.xls,29.5032520294189,0.00030260585481301,121,Run6391
121,vgs-id2#1.xls,30.0032691955566,0.000305355817545205,122,Run6391
122,vgs-id2#1.xls,30.0032901763916,0.000297934602713212,123,Run6391
123,vgs-id2#1.xls,29.5031318664551,0.000284303969237953,124,Run6391
124,vgs-id2#1.xls,29.0027160644531,0.000272012082859874,125,Run6391
125,vgs-id2#1.xls,28.5024490356445,0.000260109227383509,126,Run6391
126,vgs-id2#1.xls,28.0019817352295,0.000248787167947739,127,Run6391
127,vgs-id2#1.xls,27.5016937255859,0.000238447333686054,128,Run6391
128,vgs-id2#1.xls,27.0012989044189,0.000228578282985836,129,Run6391
129,vgs-id2#1.xls,26.5005722045898,0.000219645953620784,130,Run6391
130,vgs-id2#1.xls,26.0007553100586,0.000210240439628251,131,Run6391
131,vgs-id2#1.xls,25.5007781982422,0.000200980139197782,132,Run6391
132,vgs-id2#1.xls,25.0006008148193,0.000192315259482712,133,Run6391
133,vgs-id2#1.xls,24.500545501709,0.000183261479833163,134,Run6391
134,vgs-id2#1.xls,24.0003776550293,0.000173975655343384,135,Run6391
