"index","source_file","source_line","setup_title","V1","Abs_Id"
"169","20 0 DS.csv","810","Nega Sweep(4)(1)","-6.6000000000000005","1.16634E-10"
"170","20 0 DS.csv","811","Nega Sweep(4)(1)","-6.4","1.0356700000000001E-10"
"171","20 0 DS.csv","812","Nega Sweep(4)(1)","-6.2","9.1624000000000011E-11"
"172","20 0 DS.csv","813","Nega Sweep(4)(1)","-6","8.1285000000000007E-11"
"173","20 0 DS.csv","814","Nega Sweep(4)(1)","-5.8","7.1377E-11"
"174","20 0 DS.csv","815","Nega Sweep(4)(1)","-5.6000000000000005","6.2832000000000009E-11"
"175","20 0 DS.csv","816","Nega Sweep(4)(1)","-5.4","5.5051E-11"
"176","20 0 DS.csv","817","Nega Sweep(4)(1)","-5.2","4.8460000000000006E-11"
"177","20 0 DS.csv","818","Nega Sweep(4)(1)","-5","4.1974E-11"
"178","20 0 DS.csv","819","Nega Sweep(4)(1)","-4.8","3.6521E-11"
"179","20 0 DS.csv","820","Nega Sweep(4)(1)","-4.6000000000000005","3.1654000000000004E-11"
"180","20 0 DS.csv","821","Nega Sweep(4)(1)","-4.4","2.7108000000000003E-11"
"181","20 0 DS.csv","822","Nega Sweep(4)(1)","-4.2","2.3459000000000003E-11"
"182","20 0 DS.csv","823","Nega Sweep(4)(1)","-4","1.9917E-11"
"183","20 0 DS.csv","824","Nega Sweep(4)(1)","-3.8000000000000003","1.702E-11"
"184","20 0 DS.csv","825","Nega Sweep(4)(1)","-3.6","1.4463000000000001E-11"
"185","20 0 DS.csv","826","Nega Sweep(4)(1)","-3.4","1.2234000000000001E-11"
"186","20 0 DS.csv","827","Nega Sweep(4)(1)","-3.2","1.0271000000000001E-11"
"187","20 0 DS.csv","828","Nega Sweep(4)(1)","-3","8.452E-12"
"188","20 0 DS.csv","829","Nega Sweep(4)(1)","-2.8000000000000003","7.1080000000000008E-12"
"189","20 0 DS.csv","830","Nega Sweep(4)(1)","-2.6","5.7600000000000005E-12"
"190","20 0 DS.csv","831","Nega Sweep(4)(1)","-2.4","4.73E-12"
"191","20 0 DS.csv","832","Nega Sweep(4)(1)","-2.2","3.758E-12"
"192","20 0 DS.csv","833","Nega Sweep(4)(1)","-2","2.9970000000000003E-12"
"193","20 0 DS.csv","834","Nega Sweep(4)(1)","-1.8","2.3370000000000002E-12"
"194","20 0 DS.csv","835","Nega Sweep(4)(1)","-1.6","1.8020000000000002E-12"
"195","20 0 DS.csv","836","Nega Sweep(4)(1)","-1.4000000000000001","1.3020000000000001E-12"
"196","20 0 DS.csv","837","Nega Sweep(4)(1)","-1.2","9.52E-13"
"197","20 0 DS.csv","838","Nega Sweep(4)(1)","-1","6.52E-13"
"198","20 0 DS.csv","839","Nega Sweep(4)(1)","-0.8","4.4200000000000004E-13"
"199","20 0 DS.csv","840","Nega Sweep(4)(1)","-0.6","2.68E-13"
"200","20 0 DS.csv","841","Nega Sweep(4)(1)","-0.4","4.0000000000000006E-14"
"201","20 0 DS.csv","842","Nega Sweep(4)(1)","-0.2","5E-14"
"202","20 0 DS.csv","843","Nega Sweep(4)(1)","0","1.0200000000000001E-13"
"","","","","",""
"203","20 0 DS.csv","221","Posi Sweep(4)(1)","0","6.0000000000000009E-14"
"204","20 0 DS.csv","222","Posi Sweep(4)(1)","0.2","2.1500000000000002E-13"
"205","20 0 DS.csv","223","Posi Sweep(4)(1)","0.4","2.6500000000000003E-13"
